IMDB ID,title,genres,country,split
tt0050706,Mon Oncle (1958),Comedy,France,train
tt0059592,Pierrot le Fou (1965),"Crime, Drama, Romance",France,train
tt0061722,The Graduate (1967),"Comedy, Drama, Romance",USA,train
tt0061781,The Firemen's Ball (1967),"Comedy, Drama",Czechoslovakia,validation
tt0066921,A Clockwork Orange (1971),"Crime, Drama, Sci-Fi",UK,train
tt0070245,Hiroshima Death Match (1973),"Action, Crime, Drama, History",Japan,train
tt0070246,Battles Without Honor and Humanity (1973),"Crime, Drama",Japan,train
tt0071315,Chinatown (1974),"Drama, Mystery, Thriller",USA,train
tt0079182,Vengeance Is Mine (1979),"Crime, Drama",Japan,train
tt0080610,The Last Metro (1980),"Drama, Romance, War",France,train
tt0081505,The Shining (1980),"Drama, Horror",UK,test
tt0090257,My Sweet Little Village (1985),Comedy,Czechoslovakia,test
tt0092099,Top Gun (1986),"Action, Drama",USA,train
tt0092603,Babette's Feast (1987),Drama,Denmark,test
tt0095250,The Big Blue (1988),"Adventure, Drama, Sport",France,train
tt0095765,Cinema Paradiso (1988),Drama,Italy,train
tt0099685,Goodfellas (1990),"Biography, Crime, Drama",USA,validation
tt0101700,Delicatessen (1991),"Comedy, Crime",France,test
tt0106332,Farewell My Concubine (1993),"Drama, Music, Romance",China,validation
tt0108289,Flirting Scholar (1993),"Comedy, Romance",Hong Kong,train
tt0108656,Crime Story (1993),"Action, Crime, Drama",Hong Kong,test
tt0110201,Hail the Judge (1994),Comedy,Hong Kong,train
tt0111797,Eat Drink Man Woman (1994),"Comedy, Drama, Romance",Taiwan,train
tt0112769,La Cérémonie (1995),"Crime, Drama, Mystery, Thriller",France,validation
tt0114369,Se7en (1995),"Crime, Drama, Mystery, Thriller",USA,train
tt0118749,Boogie Nights (1997),Drama,USA,train
tt0118799,Life Is Beautiful (1997),"Comedy, Drama, Romance, War",Italy,test
tt0118845,Happy Together (1997),"Drama, Romance",Hong Kong,test
