task,encoder,model,agg,train-AP,validation-AP,test-AP
frame,baseline,,,0.079,0.094,0.119
motion,baseline,,,0.095,0.096,0.122
frame,heuristic 1,,,0.012,0.006,0.017
frame,heuristic 2,,,0.169,0.177,0.207
frame,heuristic 3,,,0.218,0.234,0.248
motion,heuristic 4,,,0.195,0.192,0.163
motion,heuristic 5,,,0.184,0.134,0.132
frame,clip,lr,mean,0.565 ± 0.014,0.21 ± 0.015,0.226
frame,clip,lr,concat,0.635 ± 0.009,0.196 ± 0.007,0.218
frame,clip,lr,abs_diff,0.35 ± 0.013,0.125 ± 0.011,0.136
frame,clip,xgboost,mean,0.862 ± 0.007,0.224 ± 0.013,0.346
frame,clip,xgboost,concat,0.864 ± 0.003,0.214 ± 0.017,0.299
frame,clip,xgboost,abs_diff,0.78 ± 0.011,0.116 ± 0.005,0.136
frame,clip,mlp,mean,0.829 ± 0.011,0.253 ± 0.023,0.24
frame,clip,mlp,concat,0.84 ± 0.012,0.209 ± 0.012,0.273
frame,clip,mlp,abs_diff,0.776 ± 0.009,0.127 ± 0.008,0.131
frame,clip,mlp_small,mean,0.81 ± 0.01,0.23 ± 0.02,0.262
frame,clip,mlp_small,concat,0.832 ± 0.009,0.223 ± 0.015,0.312
frame,clip,mlp_small,abs_diff,0.782 ± 0.01,0.113 ± 0.006,0.137
frame,clip,mlp_large,mean,0.83 ± 0.015,0.249 ± 0.021,0.273
frame,clip,mlp_large,concat,0.85 ± 0.011,0.249 ± 0.02,0.319
frame,clip,mlp_large,abs_diff,0.793 ± 0.012,0.125 ± 0.007,0.136
frame,efficientnetb7,lr,mean,0.692 ± 0.011,0.206 ± 0.018,0.25
frame,efficientnetb7,lr,concat,0.748 ± 0.018,0.177 ± 0.013,0.243
frame,efficientnetb7,lr,abs_diff,0.761 ± 0.005,0.187 ± 0.015,0.226
frame,efficientnetb7,xgboost,mean,0.852 ± 0.011,0.261 ± 0.025,0.352
frame,efficientnetb7,xgboost,concat,0.852 ± 0.008,0.223 ± 0.018,0.312
frame,efficientnetb7,xgboost,abs_diff,0.823 ± 0.009,0.195 ± 0.014,0.257
frame,efficientnetb7,mlp,mean,0.824 ± 0.007,0.237 ± 0.021,0.285
frame,efficientnetb7,mlp,concat,0.833 ± 0.024,0.215 ± 0.007,0.28
frame,efficientnetb7,mlp,abs_diff,0.836 ± 0.004,0.204 ± 0.018,0.236
frame,efficientnetb7,mlp_small,mean,0.823 ± 0.016,0.225 ± 0.014,0.303
frame,efficientnetb7,mlp_small,concat,0.843 ± 0.004,0.213 ± 0.02,0.31
frame,efficientnetb7,mlp_small,abs_diff,0.83 ± 0.006,0.213 ± 0.009,0.238
frame,efficientnetb7,mlp_large,mean,0.828 ± 0.012,0.24 ± 0.025,0.262
frame,efficientnetb7,mlp_large,concat,0.849 ± 0.004,0.235 ± 0.008,0.286
frame,efficientnetb7,mlp_large,abs_diff,0.843 ± 0.006,0.237 ± 0.015,0.256
frame,resnet50,lr,mean,0.699 ± 0.02,0.231 ± 0.023,0.25
frame,resnet50,lr,concat,0.722 ± 0.027,0.227 ± 0.026,0.239
frame,resnet50,lr,abs_diff,0.73 ± 0.016,0.177 ± 0.012,0.194
frame,resnet50,xgboost,mean,0.847 ± 0.009,0.252 ± 0.008,0.297
frame,resnet50,xgboost,concat,0.849 ± 0.005,0.262 ± 0.011,0.306
frame,resnet50,xgboost,abs_diff,0.821 ± 0.003,0.187 ± 0.007,0.271
frame,resnet50,mlp,mean,0.819 ± 0.011,0.261 ± 0.017,0.285
frame,resnet50,mlp,concat,0.835 ± 0.011,0.232 ± 0.014,0.294
frame,resnet50,mlp,abs_diff,0.849 ± 0.004,0.214 ± 0.009,0.227
frame,resnet50,mlp_small,mean,0.81 ± 0.017,0.245 ± 0.029,0.257
frame,resnet50,mlp_small,concat,0.823 ± 0.008,0.224 ± 0.01,0.243
frame,resnet50,mlp_small,abs_diff,0.838 ± 0.006,0.185 ± 0.011,0.232
frame,resnet50,mlp_large,mean,0.827 ± 0.011,0.261 ± 0.022,0.256
frame,resnet50,mlp_large,concat,0.838 ± 0.01,0.266 ± 0.015,0.269
frame,resnet50,mlp_large,abs_diff,0.854 ± 0.008,0.215 ± 0.004,0.223
frame,clip4clip,lr,mean,0.545 ± 0.027,0.224 ± 0.015,0.244
frame,clip4clip,lr,concat,0.61 ± 0.022,0.2 ± 0.019,0.228
frame,clip4clip,lr,abs_diff,0.341 ± 0.017,0.125 ± 0.006,0.154
frame,clip4clip,xgboost,mean,0.86 ± 0.006,0.273 ± 0.024,0.35
frame,clip4clip,xgboost,concat,0.86 ± 0.003,0.233 ± 0.021,0.315
frame,clip4clip,xgboost,abs_diff,0.774 ± 0.008,0.125 ± 0.005,0.138
frame,clip4clip,mlp,mean,0.823 ± 0.017,0.267 ± 0.016,0.315
frame,clip4clip,mlp,concat,0.83 ± 0.014,0.272 ± 0.019,0.299
frame,clip4clip,mlp,abs_diff,0.783 ± 0.011,0.118 ± 0.006,0.156
frame,clip4clip,mlp_small,mean,0.808 ± 0.012,0.248 ± 0.018,0.319
frame,clip4clip,mlp_small,concat,0.816 ± 0.016,0.258 ± 0.028,0.289
frame,clip4clip,mlp_small,abs_diff,0.771 ± 0.015,0.127 ± 0.006,0.137
frame,clip4clip,mlp_large,mean,0.836 ± 0.009,0.277 ± 0.012,0.304
frame,clip4clip,mlp_large,concat,0.844 ± 0.004,0.27 ± 0.015,0.332
frame,clip4clip,mlp_large,abs_diff,0.786 ± 0.011,0.131 ± 0.005,0.149
frame,r2plus1d,lr,mean,0.527 ± 0.013,0.156 ± 0.009,0.167
frame,r2plus1d,lr,concat,0.598 ± 0.008,0.155 ± 0.007,0.186
frame,r2plus1d,lr,abs_diff,0.344 ± 0.015,0.111 ± 0.008,0.139
frame,r2plus1d,xgboost,mean,0.839 ± 0.009,0.211 ± 0.014,0.26
frame,r2plus1d,xgboost,concat,0.842 ± 0.008,0.206 ± 0.02,0.219
frame,r2plus1d,xgboost,abs_diff,0.781 ± 0.004,0.127 ± 0.007,0.145
frame,r2plus1d,mlp,mean,0.822 ± 0.01,0.212 ± 0.03,0.214
frame,r2plus1d,mlp,concat,0.82 ± 0.012,0.204 ± 0.019,0.217
frame,r2plus1d,mlp,abs_diff,0.776 ± 0.011,0.116 ± 0.005,0.15
frame,r2plus1d,mlp_small,mean,0.806 ± 0.009,0.205 ± 0.012,0.232
frame,r2plus1d,mlp_small,concat,0.804 ± 0.017,0.188 ± 0.023,0.212
frame,r2plus1d,mlp_small,abs_diff,0.772 ± 0.014,0.111 ± 0.005,0.159
frame,r2plus1d,mlp_large,mean,0.829 ± 0.012,0.222 ± 0.021,0.224
frame,r2plus1d,mlp_large,concat,0.829 ± 0.008,0.212 ± 0.021,0.228
frame,r2plus1d,mlp_large,abs_diff,0.786 ± 0.01,0.122 ± 0.009,0.159
frame,swin,lr,mean,0.62 ± 0.009,0.212 ± 0.013,0.202
frame,swin,lr,concat,0.692 ± 0.017,0.203 ± 0.008,0.2
